student_id,age,entrance_score,board_percentage,extracurricular_score,admission_probability
250.99,17,30,95.58,2,0.387
250.99,20,0,75.45,2,0.221
250.99,19,120,75.36,10,0.446
250.99,18,179,52.49,2,0.174
250.99,18,295,92.48,7,0.634
250.99,20,0,80.51,8,0.366
250.99,17,57,61.46,10,0.303
250.99,19,333,65.74,3,0.392
250.99,17,0,68.35,4,0.205
250.99,17,125,91.72,4,0.459
250.99,19,96,90.3,10,0.538
250.99,20,0,77.03,4,0.268
250.99,19,358,89.23,6,0.634
250.99,20,0,78.37,6,0.314
250.99,19,88,57.41,3,0.167
250.99,20,0,61.08,9,0.243
250.99,19,26,66.21,7,0.262
250.99,17,7,61.38,9,0.25
250.99,20,634,94.99,6,0.73101
250.99,18,102,59.76,7,0.266
250.99,19,111,54.82,1,0.127
250.99,18,105,91.76,8,0.519
250.99,17,73,57.05,8,0.245
250.99,20,102,50.44,1,0.088
250.99,20,0,83.95,10,0.428
250.99,19,574,57.52,10,0.622
250.99,18,0,69.86,1,0.162
250.99,20,101,66.24,3,0.24
250.99,19,0,98.11,1,0.367
250.99,18,0,54.93,1,0.054
250.99,18,144,52.86,2,0.154
250.99,17,71,88.88,10,0.511
250.99,17,166,66.66,9,0.396
250.99,19,143,78.14,2,0.336
250.99,20,111,50.5,1,0.096
250.99,17,0,99.46,1,0.377
250.99,20,0,82.59,1,0.254
250.99,20,190,82.78,10,0.547
250.99,18,17,87.49,7,0.41
250.99,19,160,68.16,0,0.239
250.99,17,385,70.08,0,0.405
250.99,20,64,71.88,7,0.329
250.99,19,158,89.69,10,0.576
250.99,18,0,54.19,4,0.103
250.99,17,85,64.44,1,0.18
250.99,20,135,89.05,8,0.519
250.99,18,0,53.44,10,0.206
250.99,20,176,97.41,0,0.462
250.99,19,0,77.64,8,0.345
250.99,20,115,56.1,3,0.176
250.99,20,0,59.84,3,0.125
250.99,17,65,60.29,2,0.154
250.99,18,140,59.31,4,0.234
250.99,18,0,75.95,1,0.206
250.99,18,23,90.45,1,0.327
250.99,17,37,58.14,6,0.192
250.99,19,191,52.52,9,0.31
250.99,17,61,51.71,3,0.108
250.99,19,0,56.26,9,0.208
250.99,19,107,60.08,4,0.217
250.99,20,123,70.49,4,0.304
250.99,19,0,87.12,7,0.396
250.99,18,5,51.22,8,0.157
250.99,20,0,64.14,0,0.102
250.99,18,0,51.28,1,0.04199
250.99,18,629,99.53,8,0.73101
250.99,20,39,84.68,4,0.35
250.99,18,186,59.95,4,0.27
250.99,17,76,55.1,8,0.233
250.99,18,0,64.15,2,0.139
250.99,20,0,86.82,8,0.412
250.99,17,199,99.53,8,0.641
250.99,18,401,63.3,10,0.548
250.99,17,253,90.59,2,0.501
250.99,19,145,91.55,6,0.508
250.99,18,100,83.83,6,0.421
250.99,18,0,75.69,4,0.259
250.99,17,196,96.42,2,0.505
250.99,19,88,82.84,4,0.37
250.99,19,0,76.03,6,0.297
250.99,20,39,80.53,5,0.338
250.99,18,0,88.63,4,0.353
250.99,17,100,56.57,6,0.224
250.99,20,139,91.65,9,0.559
250.99,19,146,92.43,7,0.533
250.99,19,45,67.61,4,0.23
250.99,17,0,53.23,7,0.15
250.99,18,0,88.95,7,0.409
250.99,20,150,93.76,3,0.473
250.99,20,0,78.93,10,0.391
250.99,18,0,87.4,1,0.289
250.99,20,0,88.2,0,0.277
250.99,20,0,64.5,5,0.196
250.99,18,430,55.66,0,0.33
250.99,20,0,93.93,7,0.446
250.99,18,45,62.52,6,0.23
250.99,17,51,71.69,3,0.246
250.99,19,157,93.76,2,0.459
250.99,19,0,66.03,10,0.297
250.99,17,0,70.82,0,0.151
250.99,20,0,51.44,4,0.083
250.99,17,92,53.82,10,0.271
250.99,20,105,83,8,0.455
250.99,17,0,97.26,3,0.397
250.99,20,0,56.08,5,0.134
250.99,20,0,95.49,10,0.511
250.99,20,0,55.68,2,0.077
250.99,19,95,94.12,2,0.42
250.99,18,119,94.43,1,0.42
250.99,19,191,51.53,10,0.321
250.99,18,0,67.32,9,0.289
250.99,20,0,60.75,0,0.078
250.99,19,0,99.17,10,0.538
250.99,18,132,64.77,6,0.305
250.99,19,0,77.43,6,0.308
250.99,19,0,71.19,8,0.299
250.99,17,51,76.28,4,0.297
250.99,17,102,83.75,7,0.44
250.99,17,0,67.97,8,0.275
250.99,17,0,94.81,8,0.47
250.99,18,164,61.55,1,0.212
250.99,19,634,93.19,9,0.73101
250.99,19,525,78.2,5,0.649
250.99,18,141,96.28,3,0.485
250.99,20,109,91.92,3,0.432
250.99,19,230,87.77,6,0.538
250.99,17,0,66.86,8,0.267
250.99,20,212,60.95,7,0.349
250.99,19,109,95.24,5,0.492
250.99,19,71,57.43,9,0.265
250.99,19,136,51.43,10,0.283
250.99,19,0,91.9,0,0.304
250.99,17,0,90.94,6,0.406
250.99,19,0,95.87,0,0.333
250.99,20,0,87.2,6,0.379
250.99,18,0,91.91,10,0.485
250.99,19,0,56.46,10,0.228
250.99,17,453,80.42,1,0.544
250.99,18,0,95.76,3,0.386
250.99,18,131,95.22,2,0.452
250.99,20,0,94.93,2,0.362
250.99,17,43,85.59,3,0.341
250.99,18,0,68.23,3,0.186
250.99,18,195,59.68,4,0.274
250.99,20,0,53.96,7,0.155
250.99,20,157,54.84,8,0.286
250.99,17,232,57.89,4,0.286
250.99,17,0,78.14,10,0.385
250.99,20,100,51.48,1,0.096
250.99,17,4,58.8,5,0.157
250.99,20,197,67.88,9,0.425
250.99,18,103,82.17,6,0.411
250.99,20,312,92.65,6,0.628
250.99,18,0,70.4,4,0.22
250.99,18,34,67.56,7,0.277
250.99,19,0,75.94,6,0.297
250.99,17,0,79.81,10,0.398
250.99,19,0,67.92,0,0.13
250.99,19,0,82.29,0,0.234
250.99,20,279,69.99,5,0.423
250.99,20,103,59.78,7,0.267
250.99,19,0,92.35,10,0.489
250.99,18,51,60.35,9,0.272
250.99,18,59,89.52,8,0.471
250.99,18,58,79.32,2,0.288
250.99,20,430,87.78,4,0.636
250.99,18,0,50.44,0,0.04199
250.99,17,160,60.83,8,0.331
250.99,18,0,72.08,1,0.178
250.99,17,0,93.36,2,0.351
250.99,17,0,55.09,6,0.145
250.99,17,0,78.32,7,0.332
250.99,20,142,92.03,8,0.546
250.99,19,176,50.79,2,0.16
250.99,19,139,51.85,6,0.215
250.99,18,0,69.83,8,0.289
250.99,19,0,54.59,7,0.16
250.99,17,97,54.28,2,0.132
250.99,20,0,60.67,9,0.24
250.99,19,0,73.88,3,0.227
250.99,20,176,66.66,4,0.312
250.99,17,12,98.62,3,0.415
250.99,18,35,72.37,10,0.367
250.99,19,69,78.79,9,0.418
250.99,18,17,68.79,7,0.275
250.99,18,161,55.2,8,0.291
250.99,17,425,70.97,10,0.619
250.99,18,95,72.54,7,0.354
250.99,17,0,97.58,1,0.363
250.99,18,85,94.68,2,0.418
250.99,19,0,50.44,5,0.092
250.99,19,215,63.83,5,0.335
250.99,19,0,78.82,2,0.245
250.99,18,0,85.33,8,0.401
250.99,20,525,72.36,7,0.642
250.99,17,75,85.6,6,0.417
250.99,18,0,85.94,6,0.369
250.99,17,0,85.54,2,0.294
250.99,18,0,62.6,0,0.091
250.99,20,0,50.45,2,0.04199
250.99,18,396,59.69,1,0.355
250.99,20,0,67.58,7,0.254
250.99,18,0,72.4,3,0.217
250.99,19,6,54.47,7,0.163
250.99,18,0,84.74,9,0.415
250.99,18,155,57.18,0,0.156
250.99,20,135,64.37,9,0.358
250.99,20,55,66.14,1,0.172
250.99,18,59,79.39,7,0.38
250.99,20,51,86.7,3,0.355
250.99,18,351,65.46,5,0.439
250.99,19,172,91.9,4,0.492
250.99,20,0,67.76,5,0.219
250.99,18,0,90.33,0,0.292
250.99,19,0,57.97,1,0.076
250.99,18,182,67.94,4,0.325
250.99,17,127,79.15,3,0.351
250.99,17,0,75.2,9,0.346
250.99,18,66,68.07,9,0.339
250.99,20,33,60.6,9,0.262
250.99,17,0,75.21,10,0.364
250.99,18,0,54.62,3,0.088
250.99,19,251,69.78,2,0.348
250.99,17,57,53.53,8,0.209
250.99,19,31,71.64,10,0.359
250.99,18,0,98.14,8,0.494
250.99,20,0,74.27,1,0.194
250.99,19,0,79.36,7,0.34
250.99,19,0,75.1,5,0.273
250.99,17,0,60.89,9,0.242
250.99,18,32,55.41,2,0.097
250.99,20,0,66.68,9,0.284
250.99,17,0,75.72,5,0.277
250.99,20,0,84.85,6,0.362
250.99,18,7,82.37,4,0.312
250.99,19,0,76.39,7,0.318
250.99,19,1,67.77,9,0.293
250.99,18,82,62.98,0,0.149
250.99,18,634,87.16,1,0.722
250.99,19,0,94.53,1,0.341
250.99,17,0,81.59,6,0.338
250.99,19,0,55.02,0,0.04199
250.99,17,71,89.75,0,0.336
250.99,19,585,79.51,3,0.662
250.99,19,59,82.69,7,0.404
250.99,17,142,84.59,2,0.383
250.99,20,0,73.11,8,0.313
250.99,18,169,75.51,10,0.48
250.99,20,0,65.6,5,0.204
250.99,17,118,81.3,3,0.361
251,17,8,74.72,6,0.293
252,18,20,67.13,1,0.156
253,17,455,61.52,5,0.48
254,18,0,81.39,4,0.3
255,19,112,72.43,0,0.238
256,17,0,60.18,5,0.164
257,19,77,88.96,6,0.443
258,17,0,77.01,9,0.359
259,17,116,81.6,1,0.325
260,19,78,78.13,5,0.347
261,20,16,81.28,2,0.274
262,17,360,54.45,1,0.292
263,18,0,64.29,9,0.267
264,20,25,88.67,3,0.352
265,20,0,89.91,8,0.435
266,19,68,52.54,10,0.245
267,18,0,86.65,10,0.447
268,18,99,61.36,10,0.33
269,19,0,91.72,4,0.375
270,19,0,69.36,6,0.249
271,18,16,64.95,7,0.246
272,17,172,64.56,5,0.312
273,17,177,84.21,9,0.53
274,20,16,84.04,2,0.294
275,18,38,80.04,2,0.28
276,18,0,97.56,3,0.399
277,18,0,65.4,0,0.111
278,20,61,80.68,4,0.336
279,17,0,72.04,4,0.232
280,17,136,78.36,4,0.37
281,18,7,57.33,8,0.203
282,18,0,95.75,4,0.404
283,19,0,93.62,10,0.498
284,18,150,97.81,2,0.484
285,18,0,86.88,0,0.267
286,20,120,85.15,8,0.481
287,17,0,52.65,7,0.146
288,19,41,72.08,6,0.296
289,19,96,51.8,9,0.241
290,18,31,96.4,6,0.466
291,20,0,79.51,7,0.341
292,18,0,53.05,2,0.058
293,20,55,79.93,3,0.308
294,18,182,82.29,0,0.357
295,19,3,99.04,8,0.503
296,19,5,82.84,5,0.332
297,20,0,90.4,10,0.474
298,18,350,88.78,5,0.608
299,18,0,86.08,4,0.334
300,17,87,55.41,6,0.206
301,18,159,66.72,4,0.301
302,20,13,87.67,1,0.3
303,17,164,94.67,9,0.598
304,20,0,58.17,0,0.059
305,19,85,50.44,7,0.184
306,17,0,92.53,6,0.417
307,18,107,61.81,7,0.284
308,19,38,76.32,10,0.398
309,18,0,99.53,9,0.523
310,17,185,87.32,2,0.431
311,19,634,58.12,8,0.649
312,19,114,96.34,6,0.522
313,17,226,60.78,6,0.339
314,18,57,91.3,1,0.356
315,17,574,50.55,4,0.463
316,19,35,61.76,3,0.163
317,19,0,55.53,4,0.112
318,19,0,77.87,1,0.22
319,20,74,80.16,9,0.432
320,20,22,85.34,2,0.307
321,18,106,64.66,5,0.268
322,17,326,97.45,7,0.691
323,19,135,50.68,4,0.168
324,20,169,65.97,1,0.247
325,20,0,52.93,1,0.04199
326,17,0,68.36,7,0.26
327,17,134,97.3,8,0.578
328,17,7,65.08,3,0.168
329,17,170,65.26,7,0.352
330,19,0,64.65,9,0.269
331,19,47,91.3,0,0.331
332,18,95,79.47,4,0.35
333,18,0,70.84,1,0.169
334,20,139,68.36,7,0.354
335,18,0,84.16,9,0.411
336,20,97,99.12,5,0.512
337,20,620,72.5,0,0.58
338,18,167,61.24,4,0.266
339,17,0,69.86,6,0.253
340,20,30,58.98,0,0.085
341,19,64,83.07,5,0.374
342,18,101,51.1,2,0.112
343,19,0,72.03,4,0.232
344,19,0,51.46,7,0.137
345,20,0,51.73,7,0.139
346,18,42,68.95,5,0.256
347,20,66,87.76,0,0.318
348,20,55,83.39,9,0.442
349,17,0,94.97,4,0.399
350,17,94,71.42,8,0.364
351,19,0,58.11,0,0.058
352,17,0,53.79,0,0.04199
353,18,0,62.29,4,0.161
354,18,236,75.13,6,0.45
355,20,521,63.91,7,0.578
356,20,0,87.95,0,0.275
357,17,113,82.98,6,0.424
358,20,170,71.41,10,0.451
359,17,36,85.68,9,0.446
360,19,625,73.05,5,0.678
361,20,10,52.18,5,0.113
362,20,634,86.87,6,0.73101
363,17,44,83.05,0,0.269
364,20,7,76.07,3,0.248
365,17,272,57.31,6,0.345
366,19,83,75.73,3,0.297
367,18,122,63.01,5,0.267
368,18,532,98.59,7,0.73101
369,17,0,73.26,2,0.205
370,20,238,89.25,4,0.517
371,18,177,78.58,8,0.471
372,19,576,91.03,0,0.685
373,18,23,73.2,1,0.202
