student_id,age,entrance_score,board_percentage,extracurricular_score,admission_probability,Topsis Score,Rank
250.99,17,30,95.58,2,0.387,0.2102818525083122,16123
250.99,20,0,75.45,2,0.221,0.1275581219525191,21984
250.99,19,120,75.36,10,0.446,0.37712305743395286,3106
250.99,18,179,52.49,2,0.174,0.25960261044729105,11553
250.99,18,295,92.48,7,0.634,0.5480533048173964,1087
250.99,20,0,80.51,8,0.366,0.2702868105128157,10470
250.99,17,57,61.46,10,0.303,0.3090638735132956,6714
250.99,19,333,65.74,3,0.392,0.49549050435000064,1266
250.99,17,0,68.35,4,0.205,0.15085529559180016,20795
250.99,17,125,91.72,4,0.459,0.3107222146634077,6579
250.99,19,96,90.3,10,0.538,0.3833027505044577,2920
250.99,20,0,77.03,4,0.268,0.17545159505177874,19097
250.99,19,358,89.23,6,0.634,0.6089699668275259,925
250.99,20,0,78.37,6,0.314,0.2236276662809535,14975
250.99,19,88,57.41,3,0.167,0.16933819396890612,19541
250.99,20,0,61.08,9,0.243,0.2602080600921658,11488
250.99,19,26,66.21,7,0.262,0.23368811635185247,14012
250.99,17,7,61.38,9,0.25,0.2622824666677217,11275
250.99,20,634,94.99,6,0.73101,0.8797758544681598,119
250.99,18,102,59.76,7,0.266,0.27592665997840976,9883
250.99,19,111,54.82,1,0.127,0.16150902089627925,20045
250.99,18,105,91.76,8,0.519,0.360449968931281,3698
250.99,17,73,57.05,8,0.245,0.2706400496015878,10438
250.99,20,102,50.44,1,0.088,0.1459063075802327,21082
250.99,20,0,83.95,10,0.428,0.314358346995321,6330
250.99,19,574,57.52,10,0.622,0.8597131562619704,168
250.99,18,0,69.86,1,0.162,0.08474780035662377,23613
250.99,20,101,66.24,3,0.24,0.2038046249273514,16706
250.99,19,0,98.11,1,0.367,0.19064136396549247,17757
250.99,18,0,54.93,1,0.054,0.03603434851725767,24695
250.99,18,144,52.86,2,0.154,0.21401042792619707,15812
250.99,17,71,88.88,10,0.511,0.3623645820687727,3623
250.99,17,166,66.66,9,0.396,0.38719040970117263,2780
250.99,19,143,78.14,2,0.336,0.26535112963339674,10963
250.99,20,111,50.5,1,0.096,0.15794518717934916,20284
250.99,17,0,99.46,1,0.377,0.1945368432360334,17471
250.99,20,0,82.59,1,0.254,0.13623997787041564,21578
250.99,20,190,82.78,10,0.547,0.4542143648647667,1523
250.99,18,17,87.49,7,0.41,0.27185167360446183,10298
250.99,19,160,68.16,0,0.239,0.24200186063502369,13287
250.99,17,385,70.08,0,0.405,0.5234184906925469,1163
250.99,20,64,71.88,7,0.329,0.26892145218737906,10624
250.99,19,158,89.69,10,0.576,0.43449224612244997,1752
250.99,18,0,54.19,4,0.103,0.1251925506113969,22108
250.99,17,85,64.44,1,0.18,0.14508135671010222,21117
250.99,20,135,89.05,8,0.519,0.38204523372018295,2961
250.99,18,0,53.44,10,0.206,0.27185458185780675,10296
250.99,20,176,97.41,0,0.462,0.33026335679244034,5164
250.99,19,0,77.64,8,0.345,0.26437832280709495,11052
250.99,20,115,56.1,3,0.176,0.19968187699560597,17067
250.99,20,0,59.84,3,0.125,0.10801099998910157,22794
250.99,17,65,60.29,2,0.154,0.12730584988730959,21997
250.99,18,140,59.31,4,0.234,0.2520845545684849,12315
250.99,18,0,75.95,1,0.206,0.10843459531161422,22783
250.99,18,23,90.45,1,0.327,0.1748810950061584,19135
250.99,17,37,58.14,6,0.192,0.20067063192829573,16985
250.99,19,191,52.52,9,0.31,0.3908456061258771,2670
250.99,17,61,51.71,3,0.108,0.1309033386139789,21839
250.99,19,0,56.26,9,0.208,0.2539142019742446,12135
250.99,19,107,60.08,4,0.217,0.216204216056349,15632
250.99,20,123,70.49,4,0.304,0.2571459183060407,11790
250.99,19,0,87.12,7,0.396,0.2632078927754815,11185
250.99,18,5,51.22,8,0.157,0.22753517091654835,14610
250.99,20,0,64.14,0,0.102,0.05492049253575965,24345
250.99,18,0,51.28,1,0.04199,0.033686989177791546,24745
250.99,18,629,99.53,8,0.73101,0.9337010073248594,41
250.99,20,39,84.68,4,0.35,0.2182859579019304,15430
250.99,18,186,59.95,4,0.27,0.30987200111371627,6645
250.99,17,76,55.1,8,0.233,0.2700588686467946,10489
250.99,18,0,64.15,2,0.139,0.08756626108528853,23545
250.99,20,0,86.82,8,0.412,0.28250651617630795,9171
250.99,17,199,99.53,8,0.641,0.4637270912174662,1436
250.99,18,401,63.3,10,0.548,0.66827633962272,787
250.99,17,253,90.59,2,0.501,0.4267530029091337,1873
250.99,19,145,91.55,6,0.508,0.36381993395082846,3571
250.99,18,100,83.83,6,0.421,0.3028169688823549,7277
250.99,18,0,75.69,4,0.259,0.17027547721913064,19472
250.99,17,196,96.42,2,0.505,0.3715821768615448,3290
250.99,19,88,82.84,4,0.37,0.2519199550594496,12339
250.99,19,0,76.03,6,0.297,0.21773244069234804,15497
250.99,20,39,80.53,5,0.338,0.2276514467401636,14600
250.99,18,0,88.63,4,0.353,0.2070327801617029,16420
250.99,17,100,56.57,6,0.224,0.24644966621371217,12912
250.99,20,139,91.65,9,0.559,0.4062980034864568,2264
250.99,19,146,92.43,7,0.533,0.3827589796103767,2938
250.99,19,45,67.61,4,0.23,0.1747866003530417,19146
250.99,17,0,53.23,7,0.15,0.2037027490642988,16718
250.99,18,0,88.95,7,0.409,0.266765149294183,10832
250.99,20,150,93.76,3,0.473,0.3281852469272529,5272
250.99,20,0,78.93,10,0.391,0.3062083233212742,6973
250.99,18,0,87.4,1,0.289,0.15186010866564842,20711
250.99,20,0,88.2,0,0.277,0.14663533785216942,21041
250.99,20,0,64.5,5,0.196,0.17079022339385108,19428
250.99,18,430,55.66,0,0.33,0.5491404721385108,1081
250.99,20,0,93.93,7,0.446,0.2787509146245534,9584
250.99,18,45,62.52,6,0.23,0.21332207863811753,15870
250.99,17,51,71.69,3,0.246,0.1662250917694374,19751
250.99,19,157,93.76,2,0.459,0.3216152480247691,5774
250.99,19,0,66.03,10,0.297,0.2868317692073304,8731
250.99,17,0,70.82,0,0.151,0.07496440755653223,23862
250.99,20,0,51.44,4,0.083,0.12518666892706382,22111
250.99,17,92,53.82,10,0.271,0.3222032141815107,5729
250.99,20,105,83.0,8,0.455,0.34355285193772245,4394
250.99,17,0,97.26,3,0.397,0.21490867471430136,15743
250.99,20,0,56.08,5,0.134,0.1572148722366273,20333
250.99,20,0,95.49,10,0.511,0.3335363851690358,4963
250.99,20,0,55.68,2,0.077,0.07288564275526951,23919
250.99,19,95,94.12,2,0.42,0.25836695371951185,11679
250.99,18,119,94.43,1,0.42,0.27008684665901456,10487
250.99,19,191,51.53,10,0.321,0.40601763810075553,2271
250.99,18,0,67.32,9,0.289,0.2680137032431334,10708
250.99,20,0,60.75,0,0.078,0.043817347086590144,24572
250.99,19,0,99.17,10,0.538,0.33954019816533315,4577
250.99,18,132,64.77,6,0.305,0.29294954931726014,8183
250.99,19,0,77.43,6,0.308,0.2210073890235893,15201
250.99,19,0,71.19,8,0.299,0.2531291777942799,12205
250.99,17,51,76.28,4,0.297,0.20126718613078864,16942
250.99,17,102,83.75,7,0.44,0.3230731627871632,5655
250.99,17,0,67.97,8,0.275,0.2471534756077763,12840
250.99,17,0,94.81,8,0.47,0.2975821712466489,7765
250.99,18,164,61.55,1,0.212,0.24283389256196483,13224
250.99,19,634,93.19,9,0.73101,0.962959941585711,10
250.99,19,525,78.2,5,0.649,0.7763084275068672,432
250.99,18,141,96.28,3,0.485,0.32405108116501824,5566
250.99,20,109,91.92,3,0.432,0.2809049450396704,9345
250.99,19,230,87.77,6,0.538,0.44957400479925697,1575
